Municipality,Year, Total_Personal_Vehicles,#_of_EVs
Allamuchy township,2015,"3,549",2
Rochelle Park township,2015,"3,525",1
Mount Ephraim borough,2020,"3,523",13
White township,2015,"3,516",1
Spring Lake Heights borough,2015,"3,506",4
Greenwich township,2020,"3,494",6
Jamesburg borough,2015,"3,463",4
Hightstown borough,2015,"3,442",4
Somerdale borough,2015,"3,442",3
Franklin borough,2015,"3,435",3
Northvale borough,2020,"3,434",24
Mendham borough,2020,"3,428",55
White township,2020,"3,418",8
Delanco township,2020,"3,377",11
Union township,2020,"3,365",26
Demarest borough,2015,"3,352",7
Bethlehem township,2020,"3,349",17
Neptune City borough,2020,"3,334",11
Point Pleasant Beach borough,2020,"3,327",32
Riverdale borough,2015,"3,326",3
Point Pleasant Beach borough,2015,"3,324",4
Demarest borough,2020,"3,314",98
Brielle borough,2020,"3,293",30
East Amwell township,2020,"3,273",36
Riverdale borough,2020,"3,258",14
Spring Lake Heights borough,2020,"3,240",42
Paulsboro borough,2015,"3,234",0
Atlantic Highlands borough,2015,"3,221",1
Stillwater township,2020,"3,216",10
Fairfield township,2020,"3,215",6
Boonton township,2015,"3,212",2
Hightstown borough,2020,"3,211",39
Harding township,2020,"3,210",45
Mendham borough,2015,"3,191",8
East Amwell township,2015,"3,185",4
Delanco township,2015,"3,170",2
Lambertville city,2015,"3,160",5
Northvale borough,2015,"3,156",4
Kingwood township,2020,"3,142",20
Berlin township,2015,"3,128",0
Harrington Park borough,2015,"3,117",3
Stillwater township,2015,"3,113",1
Atlantic Highlands borough,2020,"3,110",21
Hopewell township,2015,"3,103",1
Bethlehem township,2015,"3,091",3
Pilesgrove township,2020,"3,084",17
Fairfield township,2015,"3,082",1
Clementon borough,2015,"3,074",1
Harding township,2015,"3,074",4
Commercial township,2015,"3,067",3
Boonton township,2020,"3,046",23
Medford Lakes borough,2015,"3,042",3
Clementon borough,2020,"3,041",9
Montague township,2020,"3,008",11
Kingwood township,2015,"3,006",3
Mountain Lakes borough,2015,"2,997",6
Hopewell township,2020,"2,983",5
Mountain Lakes borough,2020,"2,977",90
Bradley Beach borough,2015,"2,960",2
Medford Lakes borough,2020,"2,960",26
Buena borough,2020,"2,957",5
Commercial township,2020,"2,953",7
Buena borough,2015,"2,946",0
Garwood borough,2015,"2,937",0
Neptune City borough,2015,"2,931",1
